房子标题,小区名字,小区地址,相关信息,房价总价/万,每平方价格
楼层好，视野开阔，采光充足，保养好！,皇御苑二期 ,皇岗,2室1厅 | 64.03平米 | 南 | 简装 | 中楼层(共34层) | 2003年建 | 板塔结合,560,87460
楼层视野好，房间明亮，生活气息浓厚,新阁小区 ,银湖,2室1厅 | 50.2平米 | 南 | 简装 | 高楼层(共24层) | 1995年建 | 塔楼,318,63347
全新毛坯 花园小区 户型方正 朝南 可看风景,承翰陶柏莉 ,大鹏半岛,3室2厅 | 88.42平米 | 南 | 毛坯 | 中楼层(共30层) | 2016年建 | 板塔结合,335,37888
朝花园高层2+1户型，视野通风不错，位置安静,珠江旭景佳园 ,坂田,2室1厅 | 76.58平米 | 西北 | 简装 | 中楼层(共24层) | 2007年建 | 塔楼,465,60721
万象天成南向两房，总价税费低。,万象天成 ,龙岗中心城,2室1厅 | 70.61平米 | 南 | 精装 | 低楼层(共26层) | 2010年建 | 塔楼,253,35831
凯悦华庭  双地铁口  正规两房 红本在手 诚心卖,凯悦华庭 ,春风路,2室2厅 | 55.71平米 | 西北 | 简装 | 中楼层(共29层) | 2002年建 | 板塔结合,285,51158
电梯大两房 采光视野好 看房方便,新厦苑 ,翻身,2室1厅 | 77.01平米 | 东南 | 简装 | 中楼层(共12层) | 2000年建 | 板塔结合,498,64667
阳光花园两房一厅 普通装修 朝南 采光好。,阳光花园 ,布吉街,2室1厅 | 72.27平米 | 南 | 简装 | 中楼层(共11层) | 2005年建 | 板塔结合,310,42895
端头稀有户型，东南三面采光，地铁在建物业。,西城品阁 ,新安,2室1厅 | 42.25平米 | 东南 | 精装 | 中楼层(共8层) | 2009年建 | 板塔结合,339,80237
户型方正，东南朝向，视野开阔，看皇岗口岸,星河华居 ,皇岗,2室1厅 | 68.65平米 | 东南 | 精装 | 高楼层(共32层) | 2003年建 | 板塔结合,540,78660
精装修一房一厅 满五税少业主急售，高层视野好朝南,信和爱琴居 ,布吉大芬,1室1厅 | 45.07平米 | 西南 | 简装 | 高楼层(共32层) | 2005年建 | 塔楼,,40870
满五年不唯一，高楼层视野好，业主诚心,信义假日名城六期溢芳园 ,布吉关,2室1厅 | 61.63平米 | 东北 | 简装 | 高楼层(共22层) | 2008年建 | 塔楼,350,56791
近龙华地铁口 朝东南 看花园 满五唯一 业主诚心出售,金玲花园 ,龙华中心,2室2厅 | 94.66平米 | 东南 | 简装 | 低楼层(共8层)  | 板塔结合,415,43842
精装两房，业主诚心出售，满五唯一红本在手！,万科第五园三期 ,坂田,2室1厅 | 82平米 | 南 | 精装 | 低楼层(共23层) | 2008年建 | 塔楼,508,61952
卧室出阳台刚需小两房，地铁口总价低,东方明珠城 ,龙岗中心城,2室2厅 | 62.73平米 | 北 | 精装 | 低楼层(共32层) | 2007年建 | 塔楼,262,41767
房子红本在手 带6平米超大阳台 业主诚心放卖,联城美园 ,春风路,1室1厅 | 37.35平米 | 北 | 精装 | 35层 | 2006年建 | 塔楼,225,60241
翡翠星光园客厅出阳台大两房，居家舒适,翡翠星光园 ,布吉关,2室1厅 | 61.61平米 | 北 | 简装 | 低楼层(共28层) | 2007年建 | 板塔结合,300,48694
咖啡未凉，已乘红山地铁。热茶未冷，已到福田市区。,华业玫瑰四季馨园二期 ,红山,2室1厅 | 51.21平米 | 东北 | 精装 | 低楼层(共32层) | 2017年建 | 塔楼,470,91779
"满两年,高楼层，通风采光效果好。无噪音",白金假日公寓 ,西乡,1室1厅 | 38.95平米 | 西北 | 简装 | 高楼层(共28层) | 2007年建 | 板楼,328,84211
富通城3期 精致2+1房 业主诚心卖,碧海富通城三期 ,碧海,2室1厅 | 57.82平米 | 东北 | 精装 | 高楼层(共24层) | 2007年建 | 塔楼,480,83017
东都花园一房一厅，精装修业主诚心出售,东都花园一期二区 ,龙岗中心城,1室2厅 | 53.54平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板塔结合,210,39224
此房满五年唯一，楼层好通风采光好，双地铁交通方便。,旭飞华安园 ,梅林,1室1厅 | 33.18平米 | 东 西 | 精装 | 低楼层(共12层) | 2000年建 | 塔楼,240,72333
潜龙鑫茂 精装两房 业主诚心出售,潜龙鑫茂花园A区 ,民治,2室1厅 | 56.19平米 | 东南 | 精装 | 高楼层(共12层) | 2006年建 | 板塔结合,438,77950
大世纪水山缘，勤诚达物业，公园脚下，南北对流两房,大世纪水山缘 ,布吉南岭,2室2厅 | 64.9平米 | 东北 | 简装 | 中楼层(共11层) | 2004年建 | 塔楼,280,43144
一手业主 满五年，费用少 安静海看公园,碧海富通城三期 ,碧海,1室0厅 | 39.37平米 | 东南 | 简装 | 中楼层(共26层) | 2008年建 | 塔楼,350,88901
丹竹头地铁口 康桥花园一期朝南2房出售 位置安静,中城康桥花园一期 ,丹竹头,2室1厅 | 66.72平米 | 东南 | 精装 | 低楼层(共7层) | 2000年建 | 板塔结合,286,42866
联城美园罗湖双地铁口花园安静小区装修精美花园式花园,联城美园 ,春风路,1室1厅 | 37.76平米 | 北 | 精装 | 35层 | 2006年建 | 塔楼,,61891
帝涛豪园 2房满5年 看房方便,帝涛豪园 ,福田保税区,2室1厅 | 82.86平米 | 北 | 精装 | 低楼层(共25层) | 2003年建 | 塔楼,680,82067
仅委托贝壳代理，有钥匙随时看房，西南向，高楼层,花样年花郡 ,宝安中心,1室1厅 | 39.23平米 | 西南 | 精装 | 高楼层(共20层) | 2010年建 | 板塔结合,440,112160
东北看小区花园 户型好 使用率高 带阁楼,中粮幸福花园 ,西乡,2室1厅 | 40平米 | 东北 | 简装 | 低楼层(共27层) | 2009年建 | 板塔结合,365,91250
大益广场 精装刚需两房 满5年 红本在手 看房方便,大益广场 ,西乡,2室1厅 | 65.48平米 | 东南 | 简装 | 中楼层(共9层) | 2002年建 | 板塔结合,460,70251
新天地一房一厅 双地铁双口岸 适合居家,新天地名居 ,黄贝岭,1室1厅 | 38.62平米 | 东北 | 简装 | 低楼层(共31层) | 2005年建 | 板塔结合,260,67323
中兆花园 2室1厅 260万,中兆花园 ,布吉大芬,2室1厅 | 65.9平米 | 东北 | 精装 | 中楼层(共22层) | 2001年建 | 板塔结合,260,39454
中高楼层朝正南安静视野好装修温馨业主诚售,华府馨居 ,梅林,1室1厅 | 32.73平米 | 南 | 精装 | 中楼层(共11层) | 2005年建 | 板塔结合,345,105408
龙园三期小户型，精致装修，低总价。,龙园山庄 ,清水河,1室0厅 | 32.48平米 | 西北 | 精装 | 中楼层(共25层) | 2006年建 | 塔楼,162,49877
金城华庭，满五唯一，朝东南向，厅出阳台，业主诚心卖,金城华庭 ,螺岭,1室1厅 | 36.43平米 | 东南 | 精装 | 低楼层(共24层) | 2003年建 | 塔楼,340,93330
此房卖五年，正规两房税少配套齐全,中骏四季阳光一期 ,坪地,2室2厅 | 68平米 | 西南 | 精装 | 中楼层(共30层) | 2016年建 | 塔楼,,38942
南天一花园3栋好楼层，红本在手，满5唯一，指标未占用,南天一花园 ,百花,2室1厅 | 87.3平米 | 南 | 精装 | 中楼层(共17层) | 1990年建 | 板楼,1396,159909
此房满五唯一，税费很少，高楼层，通风采光好，诚心卖,龙珠花园B区 ,布吉关,2室1厅 | 60.4平米 | 南 | 简装 | 高楼层(共30层) | 1996年建 | 板塔结合,262,43378
南北通2房，户型方正，通风采光好,益田村 ,石厦,2室2厅 | 60.5平米 | 南 | 精装 | 中楼层(共7层) | 1995年建 | 板塔结合,525,86777
地铁口  小户型住宅  厅出阳台  业主自住保养好,森雅谷润筑园 ,大运新城,1室1厅 | 49.53平米 | 西南 | 简装 | 中楼层(共16层) | 2010年建 | 板塔结合,198,39976
地铁口低总价小两房，业主诚心卖,城南雅筑 ,龙岗中心城,2室2厅 | 52.41平米 | 北 | 简装 | 中楼层(共17层) | 2010年建 | 板塔结合,213,40642
国展 精装两房，业主诚售，户型方正。,国展苑 ,布吉关,2室2厅 | 50.11平米 | 西南 西 | 精装 | 低楼层(共35层) | 1999年建 | 塔楼,203,40511
三号线地铁，精致两房，东南看湖景，满二年，少税诚售,信义湛宝广场 ,横岗,2室1厅 | 77.54平米 | 南 | 精装 | 高楼层(共31层) | 2010年建 | 板塔结合,340,43849
满五唯一，宽敞大两房，安静朝花园，舒适度高,中海西岸华府北区 ,松岗,2室2厅 | 88.07平米 | 南 东北 | 简装 | 中楼层(共17层) | 2007年建 | 板塔结合,430,48825
华天苑单间出售，独属于你在深圳的家，见证你的崛起,旭飞华天苑 ,清水河,1室0厅 | 15.42平米 | 北 | 简装 | 低楼层(共33层) | 2000年建 | 板塔结合,79,51233
此房满五年唯一 欠款少 费用优惠 高楼层 视野开阔,宏发上域 ,公明,1室1厅 | 35.11平米 | 东南 | 精装 | 高楼层(共17层) | 2012年建 | 板塔结合,215,61237
业主诚心放卖，看房方便，房子装修不错，楼层好,置地逸轩 ,春风路,1室1厅 | 39平米 | 西 | 精装 | 中楼层(共33层) | 2005年建 | 板塔结合,235,60257
天虹沃尔玛相伴 精装一房 红本在手 中间楼层,风尚时代 ,新安,1室1厅 | 35.32平米 | 东南 | 精装 | 中楼层(共7层) | 1996年建 | 板塔结合,153,43319
润筑园经典两房，朝花园，精装修保养好。,森雅谷润筑园 ,大运新城,2室1厅 | 46.4平米 | 西北 | 精装 | 低楼层(共20层) | 2010年建 | 板塔结合,190,40949
双地铁口物业 总价低 红本在手看房方便,庐山花园 ,罗湖口岸,1室1厅 | 46.65平米 | 东 | 简装 | 低楼层(共27层) | 1996年建 | 板塔结合,172,36871
佳兆业大都汇 布吉三地铁口 朝南 厅出阳台 采光通风好,佳兆业大都汇 ,布吉关,2室1厅 | 62.64平米 | 南 | 精装 | 中楼层(共33层) | 2011年建 | 板塔结合,255,40709
刚需精装楼盘，精装两房，户型反正，三条地铁口覆盖,半山御景 ,梅林,3室2厅 | 67.49平米 | 南 | 精装 | 低楼层(共16层) | 2008年建 | 塔楼,637,94385
楼层高 满五唯一 桂园小xue旁宝安南路笋盘,宝丽大厦 ,地王,2室1厅 | 74.24平米 | 西北 北 | 简装 | 中楼层(共31层) | 1994年建 | 塔楼,355,47818
离尘不离城 梅林公园旁 温馨居家大两房 业主诚售,山水居 ,梅林,2室1厅 | 65.42平米 | 北 | 简装 | 低楼层(共10层) | 2000年建 | 板塔结合,535,81780
总价低，双地铁口物业，珠宝商圈。业主诚心卖,旭飞华达园 ,百仕达,1室0厅 | 22.59平米 | 北 | 精装 | 24层 | 2002年建 | 塔楼,121,53564
地铁口物业，前门地铁后门公园，东南朝向，精装修,康达尔花园四期 ,布吉大芬,2室1厅 | 72.01平米 | 东南 | 精装 | 高楼层(共20层) | 2004年建 | 塔楼,335,46522
满四年， 税费少 户型方正 配套齐全 ！,庐山花园 ,罗湖口岸,2室1厅 | 57.93平米 | 北 | 精装 | 中楼层(共27层) | 1996年建 | 板塔结合,226,39013
近地铁看莲花山，电梯高层南北通下复式，通风采光好,雕塑家园 ,梅林,2室1厅 | 72.13平米 | 南 | 精装 | 中楼层(共30层) | 2002年建 | 塔楼,365,50604
招商依山郡  深中物业 实用两居室，户型方正，税费少.,招商依山郡 ,龙岗中心城,2室2厅 | 76.02平米 | 北 | 简装 | 中楼层(共18层) | 2009年建 | 板塔结合,480,63142
财富港端头位置，精装修两房，诚意出售,财富港大厦 ,西乡,2室1厅 | 58.06平米 | 东南 | 精装 | 高楼层(共33层) | 2010年建 | 板楼,435,74923
房子满5年红本在手.业主诚心出售,茵悦之生花园二期 ,布吉水径,2室1厅 | 66.29平米 | 北 | 简装 | 低楼层(共18层) | 2005年建 | 板楼,332,50083
万科清林径精装两房，户型方正，采光好，住家安静,万科千林山居一期（万科清林径） ,龙岗中心城,2室2厅 | 78.87平米 | 北 | 精装 | 低楼层(共32层) | 2009年建 | 板塔结合,268,33980
满五唯一布吉地铁口（3、5、14号线交汇） 朝南两房,翡翠星光园 ,布吉关,2室1厅 | 55.4平米 | 南 | 简装 | 低楼层(共28层) | 2007年建 | 板塔结合,279,50362
电梯标准的2房  精装修 业主诚心出售,丹枫雅苑 ,龙华中心,2室2厅 | 71平米 | 南 北 | 简装 | 中楼层(共24层) | 2008年建 | 塔楼,425,59860
龙岗中  心城，一个房本两套房子，住宅，诚心出售。,竹沁苑公寓 ,龙岗中心城,2室2厅 | 50.02平米 | 东北 | 精装 | 中楼层(共9层) | 2003年建 | 板楼,122,24391
好楼层，大客厅大两房，税费少，诚心卖,文雅豪庭 ,布吉街,2室1厅 | 74.44平米 | 西北 | 精装 | 高楼层(共11层) | 2006年建 | 板塔结合,305,40973
荷坳地铁口优质大两房，诚心出售,森泉雅轩 ,大运新城,2室1厅 | 75.18平米 | 西南 | 精装 | 低楼层(共24层) | 2016年建 | 塔楼,265,35249
新阁小区两房南向，高楼层，看笔架山，视野开阔,新阁小区 ,银湖,2室1厅 | 50.2平米 | 南 | 简装 | 中楼层(共24层) | 1995年建 | 塔楼,308,61355
八月份满五唯一，一房一厅精装修,荔馨村南山区 ,南头,1室1厅 | 34.9平米 | 北 | 精装 | 中楼层(共8层) | 1990年建 | 塔楼,315,90258
满五唯一税费少 德福花园大俩房 超高使用率,德福花园 ,布吉街,2室1厅 | 43平米 | 北 | 简装 | 中楼层(共8层) | 1998年建 | 塔楼,139,32326
地铁口两房，满五。业主诚心出售,盈翠家园 ,布吉大芬,2室2厅 | 66.19平米 | 北 | 简装 | 中楼层(共7层) | 2000年建 | 板楼,270,40792
满五唯一，南北通、美丽山景、全套电器家私统统留下,加洲花园 ,布吉关,2室1厅 | 55.14平米 | 南 | 精装 | 高楼层(共8层) | 1999年建 | 板塔结合,275,49874
此房满五年、红本现证在手，大复式一房一厅,葵花公寓 ,石厦,1室1厅 | 39.32平米 | 东 | 精装 | 中楼层(共35层) | 2008年建 | 板塔结合,535,136064
满五年唯一红本在手税费少，交易快,凯丰花园二期 ,梅林,1室0厅 | 31.82平米 | 北 | 精装 | 中楼层(共18层) | 2006年建 | 板塔结合,285,89567
视野开阔通透性好无暗角 安静一房楼下体育公园,韵动家园 ,新洲,1室1厅 | 41.26平米 | 西 | 简装 | 中楼层(共29层) | 2005年建 | 板塔结合,355,86040
阳光新干线 高层一房 采光通风好 精装修 业主诚心卖,阳光新干线家园 ,春风路,1室1厅 | 40.71平米 | 西北 | 精装 | 高楼层(共33层) | 2005年建 | 塔楼,210,51585
白金酒店公寓 70年产权住宅 灵芝地铁口 精装诚售,白金酒店公寓 ,新安,1室1厅 | 33.76平米 | 西南 | 精装 | 低楼层(共32层) | 2005年建 | 板楼,275,81458
水贝珠宝商圈，满五年无增值税，红本在手,旭飞华达园 ,百仕达,1室1厅 | 35.65平米 | 东北 | 简装 | 21层 | 2002年建 | 塔楼,180,50491
诚心卖业主，八卦岭很不错  欢迎来问价，居住用地,旭飞花园 ,八卦岭,1室0厅 | 15.43平米 | 南 | 简装 | 高楼层(共9层) | 1998年建 | 板楼,240,155542
经典小户型 低总价 安静看花园 壹方城商圈楼下体育馆,卡罗社区 ,翻身,1室1厅 | 36.57平米 | 东北 | 简装 | 低楼层(共16层) | 2007年建 | 板塔结合,325,88871
满五年 高层方正两房 视野采光通风效果好,西城雅筑 ,宝安中心,2室1厅 | 63.71平米 | 西北 | 简装 | 中楼层(共31层) | 2013年建 | 板塔结合,750,117721
新天地名居，厅出阳台，一居室，北斗，满五,新天地名居 ,黄贝岭,1室1厅 | 39平米 | 东北 | 精装 | 低楼层(共31层) | 2005年建 | 板塔结合,260,66667
老街地铁口 和平广场两房无遮挡 满二年 业主诚意出售,和平广场 ,地王,2室1厅 | 62.87平米 | 西北 | 简装 | 低楼层(共34层) | 2000年建 | 板塔结合,359,57102
金众蓝钻中间楼层经济实用型两房 业主诚意出售,金众蓝钻风景 ,龙岗宝荷,2室1厅 | 44.76平米 | 东 | 简装 | 中楼层(共11层) | 2008年建 | 板塔结合,137,30608
三个地铁口，精装两房，红本在手，满5年， 诚心出售,翡翠星光园 ,布吉关,2室1厅 | 61.77平米 | 南 | 精装 | 低楼层(共28层) | 2007年建 | 板塔结合,310,50187
环境优美的大两房 看花园 精装修,中海怡瑞山居 ,布吉石芽岭,2室2厅 | 68平米 | 东 | 精装 | 高楼层(共7层) | 2007年建 | 板塔结合,275,40442
红本高楼层，安静视野采光好，交通生活便利,彩天名苑 ,福田中心,2室1厅 | 60.78平米 | 西 | 简装 | 高楼层(共32层) | 2001年建 | 板塔结合,448,73709
满五唯一龙悦居四期 红本精致两房 税费少 急卖！,龙悦居四期 ,梅林关,2室1厅 | 62.98平米 | 南 | 简装 | 中楼层(共35层)  | 板楼,593,94157
业主诚心出售！ 方正实用大两房，采光通风好，视野好.,皇庭世纪 ,石厦,2室1厅 | 63.2平米 | 西北 | 简装 | 中楼层(共31层) | 2004年建 | 板塔结合,630,99684
中层南向小两房，无欠款，红本在手,高发城驰苑 ,皇岗,2室1厅 | 48.37平米 | 南 | 简装 | 中楼层(共32层) | 2008年建 | 塔楼,460,95101
金丽豪苑 1室1厅 510万,金丽豪苑 ,翠竹,1室1厅 | 42.76平米 | 南 | 简装 | 中楼层(共30层) | 2000年建 | 板塔结合,510,119271
白石龙地铁口精装2房 红本在手业主诚售 看房方便,书香门第名苑 ,梅林关,2室1厅 | 66.28平米 | 西北 | 精装 | 低楼层(共23层) | 2005年建 | 板楼,560,84491
满五唯一   南向独立一套  业主诚心卖  随时可签约,南方国际广场 ,石厦,1室0厅 | 33.12平米 | 南 | 精装 | 低楼层(共30层) | 2005年建 | 塔楼,330,99638
田心大厦一房一厅，地铁口，看房方便，户型方正。,田心大厦 ,笋岗,1室1厅 | 47.06平米 | 西 | 精装 | 高楼层(共23层) | 1999年建 | 板塔结合,233,49512
聚龙大厦，满五唯一税费少精装两房,聚龙大厦 ,螺岭,2室1厅 | 56.34平米 | 南 | 简装 | 中楼层(共31层) | 2001年建 | 板塔结合,450,79873
红本在手 精装修从未住过 高楼层 厅出阳台 通透户型,颐安都会中央二期 ,大运新城,2室2厅 | 77.43平米 | 东南 | 精装 | 高楼层(共31层) | 2016年建 | 塔楼,450,58118
主打房源：一房一厅带私人大露台，必卖户型,京基东方都会 ,新秀,1室1厅 | 35.32平米 | 东 | 简装 | 中楼层(共32层) | 2004年建 | 板塔结合,235,66535
满五不唯一无抵押，南北通，客厅出阳台两房,中海怡瑞山居 ,布吉石芽岭,2室2厅 | 66平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2006年建 | 板楼,292,44243
精装3房朝南带私家花园 位置安静,中海怡翠山庄一期 ,布吉水径,3室2厅 | 68.61平米 | 东南 | 精装 | 低楼层(共6层) | 2000年建 | 板楼,370,53928
满五年唯一 少量欠款 业主诚心出售,金地上塘道一期 ,红山,2室2厅 | 65.11平米 | 东南 | 简装 | 中楼层(共25层) | 2010年建 | 塔楼,470,72186
荣超花园    满五年红本在手   有钥匙  业主急售,荣超花园 ,布吉关,2室1厅 | 61平米 | 北 | 精装 | 低楼层(共23层) | 2000年建 | 板塔结合,,39328
双地铁出口中高楼层精装修正规2房,中粮云景国际 ,公明,2室2厅 | 71.92平米 | 东南 | 精装 | 中楼层(共32层) | 2017年建 | 板塔结合,445,61875
业主诚心在卖。家具都换过。出行方便近地铁。,时尚名居 ,石厦,1室0厅 | 31平米 | 北 | 简装 | 中楼层(共17层) | 2003年建 | 板楼,398,128388
旭飞华安园  朝南一房  近地铁口,旭飞华安园 ,梅林,1室0厅 | 28.71平米 | 南 | 简装 | 低楼层(共13层) | 2000年建 | 塔楼,215,74887
小户型双阳台，位置安静，采光通风好，业主诚心出售。,万科四季花城五期 ,民治,2室1厅 | 74.39平米 | 东北 | 简装 | 高楼层(共6层) | 2002年建 | 板塔结合,465,62509
百仕达两房 户型方正 满二年 楼层采光好 看房子方便,百仕达花园二期 ,百仕达,2室1厅 | 72.85平米 | 北 | 简装 | 高楼层(共17层) | 1999年建 | 板塔结合,478,65615
龙华地铁物业  电梯花园大两房 视野好 满五年唯一,富通天骏 ,龙华中心,2室2厅 | 74.38平米 | 南 | 简装 | 高楼层(共18层) | 2003年建 | 塔楼,485,65206
布吉地铁口  标准方正两房 红本在手 看房有钥匙,京南华庭 ,布吉关,2室1厅 | 64.6平米 | 西南 | 精装 | 高楼层(共18层) | 2008年建 | 塔楼,305,47214
盐田大梅沙马峦山下湖心岛一居室低总价红本,湖心岛公寓 ,梅沙,1室1厅 | 53.77平米 | 南 | 毛坯 | 中楼层(共5层) | 2007年建 | 板塔结合,158,29385
御庭园 2室1厅 570万,御庭园 ,皇岗,2室1厅 | 70.66平米 | 东南 | 精装 | 高楼层(共18层) | 2001年建 | 板塔结合,570,80668
成熟小区三房两厅一卫，家私家电全给，拎包即可入住,海语山林 ,大鹏半岛,3室2厅 | 79.6平米 | 南 | 精装 | 中楼层(共16层) | 2009年建 | 板塔结合,240,30151
满五，精致装修，户型房子，厅出阳台，业主诚心卖房,佳兆业新都汇 ,布吉南岭,3室1厅 | 89.42平米 | 西北 | 精装 | 中楼层(共30层) | 2013年建 | 板塔结合,488,54574
麟恒中心广场一期 2室1厅 315万,麟恒中心广场一期 ,横岗,2室1厅 | 60.59平米 | 东南 | 精装 | 中楼层(共30层) | 2014年建 | 板楼,315,51989
满五唯一 西乡 刚需小户型电梯2房 高楼层 户型方正,雅乐居 ,西乡,2室1厅 | 67.1平米 | 东南 | 精装 | 高楼层(共15层) | 2008年建 | 板塔结合,420,62594
小区环境优美，居家舒适，高楼层，视野景观好，海景房,玉湖湾 ,碧海,3室1厅 | 88.3平米 | 南 | 精装 | 高楼层(共30层) | 2011年建 | 板塔结合,880,99661
招商澜园 单证 满五唯一 免增值税 个税  带固定车位,招商澜园 ,观澜,3室1厅 | 88.83平米 | 南 | 精装 | 中楼层(共17层) | 2010年建 | 板塔结合,535,60228
繁华尽处，寻一安身之处，满五唯一少税14号线相伴,振业天峦 ,龙岗宝荷,3室1厅 | 89.3平米 | 东南 南 | 精装 | 高楼层(共33层) | 2014年建 | 板塔结合,370,41434
趁阳光正好，趁微风不噪 来房子游走一番14号地铁宝荷,金地名峰 ,龙岗宝荷,4室1厅 | 89.42平米 | 南 | 精装 | 中楼层(共30层) | 2014年建 | 板塔结合,370,41378
博林天瑞 4室2厅 1750万,博林天瑞 ,大学城,4室2厅 | 195.11平米 | 南 | 毛坯 | 低楼层(共46层) | 2016年建 | 塔楼,1750,89693
大运新城 满五唯一 少欠款 业主诚心出售,中海康城国际一期 ,大运新城,3室1厅 | 86.26平米 | 西南 | 精装 | 高楼层(共32层) | 2011年建 | 塔楼,410,47531
满五红本在手税费低，过户快，已经做了储物间，东南向,碧水龙庭 ,民治,2室1厅 | 73.58平米 | 南 | 简装 | 中楼层(共18层) | 2007年建 | 板塔结合,498,67682
满五年！园岭新村总价低 户型方正 采光好  70年产权,园岭新村 ,园岭,2室1厅 | 53.01平米 | 北 | 精装 | 高楼层(共7层) | 1990年建 | 板楼,698,131674
居家3房 实用高 近地铁 满5唯一 欠款少 业主诚心卖,怡康家园 ,布吉大芬,3室2厅 | 67.99平米 | 东南 | 精装 | 高楼层(共16层) | 2005年建 | 板塔结合,278,40889
满五唯一，诚心出售居家精装修，中间楼栋，位置安静,卓越皇后道 ,红山,3室2厅 | 88.82平米 | 南 | 精装 | 低楼层(共30层) | 2015年建 | 板塔结合,688,77461
半岛城邦二期，东南向，精装即买即住，诚心卖价可聊,半岛城邦花园二期 ,蛇口,4室1厅 | 178.51平米 | 东南 | 精装 | 低楼层(共48层) | 2009年建 | 板楼,1768,99043
复式两层，带大露台 红五一 税费少科华xue，位无占用,英伦名苑一期 ,科技园,6室2厅 | 130.18平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,1838,141190
高层三房  视野很开阔 业主诚心卖,水木澜山居 ,梅林,3室2厅 | 89.31平米 | 南 北 | 精装 | 高楼层(共34层) | 2008年建 | 板塔结合,740,82858
仙岭公馆好房推荐，稀有精装南向3房，高层视野开阔,仙岭公馆 ,龙岗双龙,3室2厅 | 89.07平米 | 东南 南 | 精装 | 高楼层(共30层) | 2016年建 | 板塔结合,310,34805
荷坳地铁口颐安乐城3房，西南朝向，满五唯一，无欠款,THETOWN乐城 ,大运新城,3室2厅 | 88.15平米 | 西南 | 精装 | 中楼层(共33层) | 2013年建 | 塔楼,445,50483
万象新天 4室1厅 750万,万象新天 ,西乡,4室1厅 | 81.17平米 | 东南 | 精装 | 低楼层(共15层) | 2013年建 | 塔楼,750,92399
地铁口英郡年华开阔大两房 户型方正视野无遮挡看花园,英郡年华 ,丹竹头,2室1厅 | 66.24平米 | 东南 | 精装 | 低楼层(共17层) | 2006年建 | 塔楼,300,45290
仁山智水，精装3+1房，高楼层，东南朝向，保养好,城建仁山智水花园一期 ,观澜,4室2厅 | 108.99平米 | 东南 | 精装 | 高楼层(共22层) | 2015年建 | 塔楼,920,84412
交通便利，配套齐全，精装一房一厅，业主自住保养好,东方瑞景苑 ,龙岗双龙,1室1厅 | 48.57平米 | 东南 | 精装 | 高楼层(共23层) | 2011年建 | 板塔结合,172,35413
先到先得，毋庸置疑，金达少有正规一房一厅。,金达花园 ,福永,1室1厅 | 44.14平米 | 东南 | 精装 | 中楼层(共7层) | 2003年建 | 板塔结合,288,65247
复式2层超大户型，得房率高，空气对流，诚意出售,天骄华庭 ,蛇口,5室2厅 | 225平米 | 南 北 | 精装 | 中楼层(共15层) | 2004年建 | 板楼,2800,124445
华侨城四海云亭，满2年，精装修，高楼层，采光好,华侨城四海云亭 ,沙井,2室1厅 | 76.16平米 | 西南 | 精装 | 高楼层(共33层) | 2017年建 | 塔楼,460,60400
中海怡翠山庄二期 1室0厅 144万,中海怡翠山庄二期 ,布吉水径,1室0厅 | 40.99平米 | 东 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,144,35131
业主诚心出售 满五唯一  无shui 早晨鸟叫声 户型方正,金达花园 ,福永,3室2厅 | 68.35平米 | 东南 | 精装 | 高楼层(共7层) | 2003年建 | 板塔结合,395,57791
南天一花园 3室2厅 1600万,南天一花园 ,百花,3室2厅 | 107平米 | 南 北 | 简装 | 低楼层(共17层) | 1989年建 | 板楼,1600,149533
满五唯一免增值税和个税厅出阳台大三房 高楼层看花园,英郡年华 ,丹竹头,3室1厅 | 84.06平米 | 东北 | 精装 | 高楼层(共27层) | 2008年建 | 塔楼,420,49965
大三房 厅出阳台 朝北看花园 满五唯一 诚售,佳兆业城市广场三期 ,坂田,3室2厅 | 88.94平米 | 北 | 精装 | 低楼层(共45层) | 2015年建 | 板塔结合,750,84327
香诗美林 欧式花园 正南精装海景2房 诚心卖,香诗美林 ,竹子林,2室2厅 | 79.88平米 | 南 | 精装 | 高楼层(共18层) | 2005年建 | 板塔结合,790,98899
看花园   位置安静  保养好 业主诚意卖,万科麓城三期 ,布吉水径,3室1厅 | 88.24平米 | 西南 | 精装 | 低楼层(共40层) | 2017年建 | 板塔结合,550,62331
许多一瞬，却是念念不忘。金地物业匹配两层复式 靠谱,金地名峰 ,龙岗宝荷,4室1厅 | 89.66平米 | 南 北 | 精装 | 高楼层(共30层) | 2014年建 | 板塔结合,330,36806
环山社区，带装修正规复式户型，低总价 满五唯一,鸿威de森林就瞰山 ,龙岗中心城,3室2厅 | 88.1平米 | 东 西 | 精装 | 高楼层(共17层) | 2014年建 | 板塔结合,324,36777
汉京九榕台 4室2厅 2538万,汉京九榕台 ,前海,4室2厅 | 174平米 | 南 | 精装 | 16层 | 2015年建 | 板楼,2538,145863
深业东城上邸，复式4房，高使用面积，大阳台。,深业东城上邸 ,坪山,4室2厅 | 88.59平米 | 西 | 简装 | 高楼层(共31层) | 2009年建 | 塔楼,399,45039
